ID;Replicate 1 GCMS_SampleID;Replicate 1 GCMS_Vial;Replicate 1 GCMS_Replicate;Replicate 1 GCMS_Treatment;Replicate 1 GCMS_HarvestDate;Replicate 1 GCMS_MoistureContent%;Replicate 1 GCMS_Bucket.;Replicate 1 GCMS_Harvest.;Replicate 1 GCMS_Comment;Column1;Column2;Name;RecordNum;Data Filename;Sample ID;Alias;Replicate1;Replicate2;BiologicalReplicate;ReplicateExtraction;Ret Time;Area;Height;Conc;Area%;Height%;LED samples_SampleID;LED samples_Vial;LED samples_Replicate;LED samples_Treatment;LED samples_HarvestDate;LED samples_MoistureContent%;LED samples_Bucket.;LED samples_Harvest.;LED samples_Comment
6;cascade1029;B1;1;control;;;;;20-OR233-004;;;Myrcene;1;B1 C1_B1C1001_1272020_4.gcd;B1C1001;B1C1;B1;C1;1;4;6,082;291108;128044;7293,101;33,783;41,471;cascade1029;B1;1;control;;;;;20-OR233-004
6;cascade1029;B1;1;control;;;;;20-OR233-004;;;b-Pinene;1;B1 C1_B1C1001_1272020_4.gcd;B1C1001;B1C1;B1;C1;1;4;6,205;5819;2199;113,641;0,675;0,712;cascade1029;B1;1;control;;;;;20-OR233-004
6;cascade1029;B1;1;control;;;;;20-OR233-004;;;Limonene;1;B1 C1_B1C1001_1272020_4.gcd;B1C1001;B1C1;B1;C1;1;4;6,906;1753;582;44,287;0,203;0,189;cascade1029;B1;1;control;;;;;20-OR233-004
6;cascade1029;B1;1;control;;;;;20-OR233-004;;;GeranylAcetate;1;B1 C1_B1C1001_1272020_4.gcd;B1C1001;B1C1;B1;C1;1;4;13,36;8471;3813;377,243;0,983;1,235;cascade1029;B1;1;control;;;;;20-OR233-004
6;cascade1029;B1;1;control;;;;;20-OR233-004;;;trans-b-Farnesene;1;B1 C1_B1C1001_1272020_4.gcd;B1C1001;B1C1;B1;C1;1;4;14,003;21386;10810;589,538;2,482;3,501;cascade1029;B1;1;control;;;;;20-OR233-004
6;cascade1029;B1;1;control;;;;;20-OR233-004;;;Caryophyllene;1;B1 C1_B1C1001_1272020_4.gcd;B1C1001;B1C1;B1;C1;1;4;14,088;24651;10811;721,114;2,861;3,502;cascade1029;B1;1;control;;;;;20-OR233-004
6;cascade1029;B1;1;control;;;;;20-OR233-004;;;Humulene;1;B1 C1_B1C1001_1272020_4.gcd;B1C1001;B1C1;B1;C1;1;4;14,499;60358;25048;1497,489;7,005;8,112;cascade1029;B1;1;control;;;;;20-OR233-004
6;cascade1029;B1;1;control;;;;;20-OR233-004;;;CaryophylleneOxide;1;B1 C1_B1C1001_1272020_4.gcd;B1C1001;B1C1;B1;C1;1;4;16,657;2009;402;58,549;0,233;0,13;cascade1029;B1;1;control;;;;;20-OR233-004
6;cascade1029;B1;1;control;;;;;20-OR233-004;;;Myrcene;2;B1 C1_B1C1001_1272020_6.gcd;B1C1001;B1C1;B1;C1;1;6;6,082;290458;126556;7276,808;33,95;41,292;cascade1029;B1;1;control;;;;;20-OR233-004
6;cascade1029;B1;1;control;;;;;20-OR233-004;;;b-Pinene;2;B1 C1_B1C1001_1272020_6.gcd;B1C1001;B1C1;B1;C1;1;6;6,206;5705;2149;111,402;0,667;0,701;cascade1029;B1;1;control;;;;;20-OR233-004
